Value,Weight
A'Isha,3
A'Ishah,4
Aa'Idah,4
Aabha,3
Aabida,3
Aadhira,13
Aadhiraa,3
Aadhya,35
Aadira,4
Aadya,16
Aafia,5
Aafiya,20
Aafiyah,39
Aahana,11
Aaila,18
Aaima,21
Aaima-Noor,3
Aaira,33
Aairah,29
Aaisha,19
Aaishah,8
Aaiza,14
Aaizah,4
Aakifah,12
Aala,7
Aalayah,11
Aaleyah,6
Aalia,19
Aaliya,22
Aaliyah,385
Aaliyah-Mae,5
Aaliyah-Rae,3
Aaliyah-Rose,16
Aamilah,5
Aamina,16
Aaminah,70
Aamira,6
Aamirah,4
Aamna,7
Aana,6
Aanaya,6
Aaniya,3
Aaniyah,6
Aanvi,9
Aanya,27
Aara,8
Aaradhya,19
Aaravi,6
Aarfa,3
Aaria,20
Aariana,3
Aarika,3
Aariya,23
Aariyah,13
Aarla,3
Aarna,33
Aarohi,16
Aarti,3
Aarusha,3
Aarvi,17
Aarya,67
Aashni,4
Aashvi,14
Aasiya,12
Aasiyah,42
Aathira,10
Aava,5
Aavni,3
Aavya,10
Aaya,6
Aayah,22
Aayah-Noor,3
Aayat,101
Aayla,7
Aayra,11
Aayushi,4
Abbey,7
Abbie,41
Abby,16
Abeeha,53
Abeera,18
Abel,3
Abella,3
Abena,8
Abi,8
Abida,7
Abigail,494
Abigel,5
Abiha,36
Abira,3
Abisha,5
Abisola,3
Abrar,5
Abrielle,7
Abril,4
Abrish,9
Acacia,5
Acer,4
Ada,1058
Ada-Grace,9
Ada-Leigh,3
Ada-Mae,18
Ada-Mai,3
Ada-Marie,4
Ada-May,5
Ada-Rae,8
Ada-Rose,22
Adaeze,9
Adah,14
Adalaide,4
Adalee,5
Adalia,9
Adalie,6
Adalind,7
Adaline,62
Adalyn,51
Adalynn,18
Adama,6
Adan,4
Adanna,15
Adannaya,3
Adaora,5
Adara,7
Adaugo,3
Adda,3
Addalyn,5
Addie,12
Addilyn,15
Addison,155
Addison-Rae,7
Addison-Rose,3
Addisyn,3
Addyson,3
Adea,6
