Value,Weight
QUEENSWAY,21
KINGSWAY,20
BROOKSIDE,18
BROADWAY,17
HILLSIDE,16
RIVERSIDE,12
WOODSIDE,11
GREENWAY,11
WOODLANDS,11
MEADWAY,10
RIDGEWAY,10
PARKSIDE,9
PARKWAY,9
WESTGATE,8
GREENWAYS,8
PARKLANDS,7
OAKLANDS,7
HILLCREST,7
WATERSIDE,7
GREENACRES,7
FAIRWAY,7
SUNNYSIDE,6
BURNSIDE,6
HIGHFIELD,6
SPRINGFIELD,6
MEADOWSIDE,6
CROSSWAYS,6
LAKESIDE,6
FAIRFIELD,5
NORTHGATE,5
EASTGATE,5
WESTWAY,5
HIGHFIELDS,5
GREENFIELDS,5
SOUTHGATE,4
GLEBELANDS,4
GREENSIDE,4
MILLFIELD,4
CHURCHFIELDS,4
BANKSIDE,4
ESPLANADE,4
WESTFIELD,4
NORTHWAY,4
FIELDWAY,4
CROSSWAY,4
CHEAPSIDE,4
KIRKGATE,4
SOUTHWAY,4
ASHGROVE,3
SPRINGFIELDS,3
MEADOWCROFT,3
FAIRWAYS,3
KINGSMEAD,3
PORTWAY,3
BROOKLANDS,3
BROADLANDS,3
BARNFIELD,3
SOUTHFIELD,3
NORTHFIELD,3
WESTFIELDS,3
NEWLANDS,3
UPLANDS,3
NEWTOWN,3
HEATHFIELD,3
FALLOWFIELD,2
BROOKFIELD,2
PROMENADE,2
MAYFIELD,2
TOWNSEND,2
SUNNINGDALE,2
NORTHFIELDS,2
EASTWAY,2
CAUSEWAY,2
BECKSIDE,2
AMBLESIDE,2
WAYSIDE,2
MEADOWLANDS,2
MEADOWBANK,2
HIGHLANDS,2
BROOMFIELD,2
BEECHWOOD,2
SOUTHLANDS,2
PEN-Y-BRYN,2
EASTFIELD,2
BRAESIDE,2
SILVERDALE,2
MEADOWFIELD,2
LINKWAY,2
HOMEFIELD,2
FIELDSIDE,2
BEECHCROFT,2
MILLFIELDS,2
HILLVIEW,2
GREENBANK,2
FERNDALE,2
CASTLEGATE,2
BROADMEAD,2
OAKWOOD,2
LONGFIELD,2
HIGHGATE,2
HIGHCROFT,2
GREENHILL,2
BROOKWAY,2
BEECHFIELD,2
SOUTHFIELDS,2
AEL-Y-BRYN,2
OAKFIELDS,2
OAKFIELD,2
MOORSIDE,2
GREENLANDS,2
FAIRVIEW,2
FAIRFIELDS,2
DOWNSIDE,2
DEEPDALE,2
ASHFIELD,2
WESTLANDS,1
ROSEDALE,1
OAKDENE,1
MILLGATE,1
MILLBANK,1
HAZELWOOD,1
COPPERFIELDS,1
TOWNGATE,1
SUMMERFIELDS,1
ROSEBANK,1
QUAYSIDE,1
PICCADILLY,1
PARKFIELD,1
LONGACRE,1
GLENSIDE,1
CHURCHWAY,1
BROOKFIELDS,1
BRAEHEAD,1
ROSEWAY,1
PARKGATE,1
MOORLANDS,1
MILLWAY,1
MIDDLEFIELD,1
HIGHGROVE,1
HEATHWAY,1
GREENGATE,1
GREENACRE,1
GLENDALE,1
BROOKDALE,1
ASHWOOD,1
WOODEND,1
WHEATFIELDS,1
TOWNHEAD,1
THIRLMERE,1
SUNNYBANK,1
RYECROFT,1
MOORFIELDS,1
GREENFIELD,1
ELMWOOD,1
CHURCHGATE,1
CASTLEFIELDS,1
BROADGATE,1
BROADACRES,1
BEECHWAY,1
WOODVIEW,1
WOODLEA,1
WELLFIELD,1
WATERGATE,1
SUMMERFIELD,1
STRAND,1
QUEENSGATE,1
OAKWAY,1
NEWGATE,1
MIDWAY,1
LONGMEAD,1
KIRKLANDS,1
HILLTOP,1
GRASMERE,1
DEANSWAY,1
BIRCHWOOD,1
WOODFIELD,1
TAN-Y-BRYN,1
STONEGATE,1
SANDIWAY,1
ROSEHILL,1
PINEWOOD,1
PARKFIELDS,1
OVERDALE,1
MUIRFIELD,1
MOORGATE,1
MILLSIDE,1
HILLFIELD,1
HILLCROFT,1
HEOL-Y-NANT,1
EASTLANDS,1
DOWNLANDS,1
COURTLANDS,1
CORNHILL,1
COMMONSIDE,1
BUTTERMERE,1
BRYNHYFRYD,1
BROADFIELDS,1
ASHCROFT,1
WOODGATE,1
WOODCROFT,1
WHEATLANDS,1
WHARFEDALE,1
WESTERDALE,1
UNDERHILL,1
SPRINGBANK,1
ROSEWOOD,1
RIVERMEAD,1
HEOL-Y-FELIN,1
HEOL-Y-BRYN,1
GREENCROFT,1
FAIRLAWNS,1
ELMFIELD,1
DOVECOTE,1
DEANSGATE,1
CROSSFIELDS,1
COWGATE,1
BRYNTEG,1
BELMONT,1
WOODWAY,1
WENSLEYDALE,1
THORNHILL,1
THISTLEDOWN,1
RINGWAY,1
MILLCROFT,1
LONGMEADOW,1
LONGCROFT,1
HAZELDENE,1
GREYFRIARS,1
GLENVIEW,1
FOXHILL,1
EASTFIELDS,1
DOVEDALE,1
DENESIDE,1
CROSSLANDS,1
CRAGSIDE,1
CLAREMONT,1
CHURCHFIELD,1
BRIDGEND,1
WOODCOTE,1
WESTCROFT,1
WELLGATE,1
WATERMEAD,1
TREETOPS,1
TANGLEWOOD,1
SWALLOWFIELDS,1
SUNNYMEAD,1
SPRINGHILL,1
SOUTHSIDE,1
ROUNDWAY,1
RIVERVIEW,1
RIBBLESDALE,1
RAVENSCROFT,1
POPPYFIELDS,1
PINFOLD,1
