Value,Weight
ROAD,7838
CLOSE,5148
STREET,4525
LANE,2520
AVENUE,2075
DRIVE,1168
WAY,678
GROVE,433
CRESCENT,381
PLACE,380
GARDENS,330
COURT,302
VIEW,225
HILL,197
TERRACE,171
WALK,108
GREEN,83
PARK,65
SQUARE,62
RISE,55
END,47
CROFT,44
BANK,41
ORCHARD,33
PARADE,29
PADDOCK,27
MEADOWS,25
APPROACH,22
SPINNEY,21
MEADOW,21
PLEASANT,20
ROW,20
MEWS,20
PADDOCKS,18
CHASE,18
GATE,17
BEECHES,16
WILLOWS,14
CAUSEWAY,14
DROVE,12
GLEBE,12
OAKS,12
DELL,11
RIDGEWAY,11
MOUNT,10
GLADE,10
OVAL,10
COPPICE,10
FAIRWAY,9
RIDINGS,9
WYND,9
MALTINGS,9
FIELDS,8
HAWTHORNS,8
COPSE,8
ACRES,8
WOODLANDS,8
BROADWAY,8
POPLARS,8
LIMES,7
SIDE,7
GARTH,7
PASTURES,7
VALE,7
SIDINGS,7
GRANGE,7
COMMON,7
BRAMBLES,6
LAURELS,6
PINES,6
MEAD,6
FIRS,6
CREST,6
GLEN,6
LAWNS,6
NOOK,6
ORCHARDS,6
ELMS,6
CEDARS,6
BRAE,5
RIDGE,5
BIRCHES,5
HOLLIES,5
CLOISTERS,5
ROWANS,5
WARREN,5
TOP,5
BUTTS,5
GLAS,4
MOORINGS,4
LEYS,4
ACRE,4
KNOLL,4
LINK,4
HOLLOW,4
GREENWAY,4
CROSS,4
DRIFT,4
CHESTNUTS,4
LINKS,4
PATH,4
RETREAT,4
STRAND,4
LARCHES,4
SYCAMORES,4
FIELD,3
BROW,3
COVERT,3
COURTYARD,3
FAIRWAYS,3
GABLES,3
HAVEN,3
MALL,3
LEAS,3
QUADRANT,3
ROOKERY,3
NURSERIES,3
MEADS,3
BOULEVARD,3
BRIARS,3
CIRCLE,3
LEA,3
MAPLES,3
DOWNS,3
CROFTS,3
QUAY,2
TREES,2
VILLAGE,2
UPLANDS,2
DENE,2
DINGLE,2
TRIANGLE,2
DALE,2
LINDENS,2
FOLD,2
YARD,2
TOWN,2
LAS,2
CUT,2
FARM,2
HEIGHTS,2
HEATH,2
LOKE,2
SHIRES,2
PARKWAY,2
PIPPINS,2
MEADWAY,1
HOLT,1
FORGE,1
FINCHES,1
ESPLANADE,1
ALDERS,1
ACORNS,1
CONIFERS,1
PARKLANDS,1
SLADE,1
PROMENADE,1
PRIORY,1
PLANTATION,1
STABLES,1
EDGE,1
HEDGEROWS,1
HOLLOWS,1
HOMESTEAD,1
MALLARDS,1
HAMLET,1
CROSSWAY,1
CROSSWAYS,1
VUE,1
QUADRANGLE,1
POUND,1
ROPEWALK,1
WICKETS,1
FAWR,1
CHANTRY,1
LONDON,1
HIGHWAY,1
LANES,1
HEATHERS,1
GLADES,1
BRACKENS,1
BANKS,1
WHARF,1
RUSHES,1
PINFOLD,1
OAKLANDS,1
NORTH,1
PIGHTLE,1
SALTINGS,1
SMITHY,1
BATCH,1
AWEL,1
FIELDINGS,1
FURLONGS,1
FOLLY,1
HIGHLANDS,1
HYDE,1
HOLLOWAY,1
LOAN,1
LEES,1
HYFRYD,1
HEADLANDS,1
GROVES,1
GALLOPS,1
BAULK,1
BURROWS,1
FERNS,1
ROUNDWAY,1
MOORLANDS,1
MOOR,1
SPIRES,1
TEG,1
SPRINGS,1
SPUR,1
MOORS,1
PARKS,1
OSIERS,1
SANDS,1
SHRUBBERY,1
PORT,1
RIDE,1
FARTHINGS,1
BROOK,1
ASHES,1
GARDEN,1
KNAPP,1
ISAF,1
LOANING,1
LYNCH,1
GATEWAY,1
FURROWS,1
ANCHORAGE,1
CLOUGH,1
COBBLES,1
FAIR,1
EAST,1
DRIFTWAY,1
DALES,1
RHEDYN,1
SIRIOL,1
SPINNEYS,1
ROCK,1
ONN,1
NURSERY,1
MOAT,1
MARTINS,1
VALLEY,1
TURNPIKE,1
